english;spanish;french;italian;german;japanese;chinese
Gammoth Greaves S;Grebas Gammoth S;Grèves Gammoth S;Schinieri Gammoth S;GammothBeinschienen S;ガムートＳグリーヴ;
Gammoth Leggings S;Calzas Gammoth S;Cuissard Gammoth S;Gambali Gammoth S;Gammoth-Gamaschen S;ガムートＳレギンス;
Glavenus Greaves S;Grebas Glavenus S;Grèves Glavenus S;Schinieri Glavenus S;GlavenusBeinschienen S;ディノＳグリーヴ;
Glavenus Leggings S;Calzas Glavenus S;Cuissard Glavenus S;Gambali Glavenus S;Glavenus-Gamaschen S;ディノＳレギンス;
Agnaktor Greaves;Grebas de Agnaktor;Grèves Agnaktor;Schinieri Agnaktor;Agnaktor-Beinschienen;アグナグリーヴ;
Agnaktor Leggings;Calzas de Agnaktor;Cuissard Agnaktor;Gambali Agnaktor;Agnaktor-Gamaschen;アグナレギンス;
Gore Greaves S;Grebas de Gore S;Grèves Gore S;Schin. Gore Magala S;GoreMagaBeinschinenS;ゴアＳグリーヴ;
Gore Leggings S;Calzas de Gore S;Cuissard Gore S;Gamb. Gore Magala S;GoreMagalaGamaschenS;ゴアＳレギンス;
EX Gore Greaves;Grebas Gore EX;Grèves Gore EX;Schin. G.Magala EX;GoreMagaBeinschienEX;EXゴアグリーヴ;
EX Gore Leggings;Calzas Gore EX;Cuissard Gore EX;Gamb. Gore Magala EX;GoreMagalaGamaschnEX;EXゴアレギンス;
Gore Greaves R;Grebas de Gore R;Grèves Gore R;Schin. Gore Magala R;GoreMagalaBeinschienR;ゴアＲグリーヴ;
Gore Leggings R;Calzas de Gore R;Cuissard Gore R;Gamb. Gore Magala R;GoreMagalaGamaschen R;ゴアＲレギンス;
Regios Greaves S;Grebas de Regios S;Grèves Regios S;Schinieri Regios S;Regios-Beinschienen S;レギオスＳグリーヴ;
Regios Leggings S;Calzas de Regios S;Cuissard Regios S;Gambali Regios S;Regios-Gamaschen S;レギオスＳレギンス;
Duramboros Greaves;Grebas de Duramboros;Grèves Duramboros;Schinieri Duramboros;DuramborosBeinschien;ドボルグリーヴ;
Duramboros Leggings;Calzas de Duramboros;Cuissard Duramboros;Gambali Duramboros;Duramboros-Gamaschen;ドボルレギンス;
Tigrex Greaves S;Grebas de Tigrex S;Grèves Tigrex S;Schinieri Tigrex S;TigrexBeinschienen S;レックスＳグリーヴ;
Tigrex Leggings S;Calzas de Tigrex S;Cuissard Tigrex S;Gambali Tigrex S;Tigrex-Gamaschen S;レックスＳレギンス;
EX Tigrex Greaves;Grebas de Tigrex EX;Grèves Tigrex EX;Schinieri Tigrex EX;TigrexBeinschienenEX;EXレックスグリーヴ;
EX Tigrex Leggings;Calzas de Tigrex EX;Cuissard Tigrex EX;Gambali Tigrex EX;Tigrex-Gamaschen EX;EXレックスレギンス;
Tigrex Greaves R;Grebas de Tigrex R;Grèves Tigrex R;Schinieri Tigrex R;Tigrex-Beinschienen R;レックスＲグリーヴ;
Tigrex Leggings R;Calzas de Tigrex R;Cuissard Tigrex R;Gambali Tigrex R;Tigrex-Gamaschen R;レックスＲレギンス;
Kirin Leg Guards S;Def. piernas Kirin S;Jambières Kirin S;Paragambe Kirin S;Kirin-Beinschutz S;キリンＳレガース;
Kirin Boots S;Botas de Kirin S;Bottes Kirin S;Stivali Kirin S;Kirin-Stiefel S;キリンＳブーツ;
Kirin Leg Guards R;Def. piernas Kirin R;Jambières Kirin R;Paragambe Kirin R;Kirin-Beinschutz R;キリンＲレガース;
Kirin Boots R;Botas de Kirin R;Bottes Kirin R;Stivali Kirin R;Kirin-Stiefel R;キリンＲブーツ;
Brachydios Greaves S;Grebas Brachydios S;Grèves Brachydios S;Schin. Brachydios S;BrachydiosBeinschinS;ブラキＳグリーヴ;
Brachy Leggings S;Calzas Brachydios S;Cuissard Brachydios S;Gambali Brachydios S;BrachydiosGamaschenS;ブラキＳレギンス;
EX Brachydios Greaves;Grebas Brachydios EX;Grèves Brachydios EX;Schin. Brachydios EX;BrachydiosBeinschinEX;EXブラキグリーヴ;
EX Brachydios Leggings;Calzas Brachydios EX;Jambières Brach EX;Gambali Brachydios EX;BrachydiosGamaschenEX;EXブラキレギンス;
Golden Hakama;Hakama dorado;Hakama d'or;Hakama d'oro;Goldener Hakama;金色ノ袴;
Puppeteer Tabi;Calcetín titiritero;Tabi Kuroko;Calze burattinaio;Kuroko-Tabi;黒子ノ足袋;
Vangis Greaves;Grebas de Vangis;Grèves Vangis;Schinieri Vangis;Vangis-Beinschienen;バンギスグリーヴ;
Vangis Leggings;Calzas de Vangis;Cuissard Vangis;Gambali Vangis;Vangis-Gamaschen;バンギスレギンス;
Guild Knight Boots;Botas caball. gremio;Bottes Chevalier;Stivali cavaliere;Gildenritter-Stiefel;ギルドナイトブーツ;
Guild Knight Tights;Leotardos cab. gremio;Collant Chevalier;Calzam. cavaliere;Gildenritter-Trikot;ギルドナイトタイツ;
Maiden's Socks S;Calcet. sirvienta S;Chaussettes Soubrette S;Calze damigella S;Magd-Socken S;メイドＳソックス;
French Maid Tights S;Leotardos criada S;Bas Gothic Lolita S;Calzam. french maid S;HausmagdStrumpfhoseS;プライベートＳタイツ;
Blue Guild Boots;Botas gremio azules;Bottes de Guilde (BL);Stiv. paladino blu;Blaue Gilden-Stiefel;ギルドガードブーツ蒼;
Blue Guild Tights;Leotardos gremio az.;Collant de Guilde (BL);Calzam. paladino blu;BlauGildnStrumpfhose;ギルドガードタイツ蒼;
Blue Guild Boots;Botas gremio azules;Bottes de Guilde (BL);Stiv. paladino blu;Blaue Gilden-Stiefel;ギルドガードブーツ蒼;
Blue Guild Tights;Leotardos gremio az.;Collant de Guilde (BL);Calzam. paladino blu;BlauGildnStrumpfhose;ギルドガードタイツ蒼;
Red Guild Boots;Botas gremio rojas;Bottes de Guilde (RG);Stiv. paladino ros.;Rote Gilden-Stiefel;ギルドガードブーツ紅;
Red Guild Tights;Leotard. gremio roj.;Collant de Guilde (RG);Calz. paladino ros.;RoteGildnStrumpfhose;ギルドガードタイツ紅;
Red Guild Boots;Botas gremio rojas;Bottes de Guilde (RG);Stiv. paladino ros.;Rote Gilden-Stiefel;ギルドガードブーツ紅;
Red Guild Tights;Leotard. gremio roj.;Collant de Guilde (RG);Calz. paladino ros.;RoteGildnStrumpfhose;ギルドガードタイツ紅;
Helper Socks S;Calcetines ayudante S;Chaussettes Servante S;Calze aiutante S;Helfer-Socken S;ヘルパーＳソックス;
Healer Socks S;Calcetines sanador S;Chaussettes Guérisseuse S;Calze guaritrice S;Heiler-Socken S;ヒーラーＳソックス;
Helper Socks U;Calcetines ayudante U;Chaussettes Servante U;Calze aiutante U;Helfer-Socken U;ヘルパーＵソックス;
Healer Socks U;Calcetines sanador U;Chauss Guérisseuse U;Calze guaritrice U;Heiler-Socken U;ヒーラーＵソックス;
Guild Bard Boots S;Botas bardo gremio S;Bottes de barde S;Stivali bardo S;GildenbardenStiefelS;ギルドバードＳブーツ;
Guild Bard Gaiters S;Polainas bardo gr. S;Guêtres de barde S;Ghette bardo S;GildenbardenStulpenS;ギルドバードＳフット;
Chakra Anklet;Tobillera Chakra;Chaîne cheville Chakra;Cavigliera Chakra;Chakra-Fußring;三眼の足輪;
Dianthus Wealpants;Quijote Dianthus;Culotte Dianthus S;Calz. ben. Dianthus;Dianthus-Kniehose S;撫子・華【球袴】;
Campanile Wealpants;Quijote campanilla;Culotte Campanile S;Calz. ben. Campanile;Campanile-Kniehose S;桔梗・華【球袴】;
Ace Greaves;Grebas de élite;Grèves As de chasse;Schinieri Grancaccia;Ass-Beinschienen;エースグリーヴ;
Ace Leggings;Calzas de élite;Cuissard As de chasse;Gambali Grancaccia;Ass-Gamaschen;エースレギンス;
Sororal Greaves;Grebas fraternales;Grèves Amazone;Schinieri sorellanza;Amazonen-Beinschienen;クイーングリーヴ;
Sororal Leggings;Calzas fraternales;Cuissard Amazone;Gambali sorellanza;Amazonen-Gamaschen;クイーンレギンス;
Hawkboots;Botas de halcón;Bottes Faucon;Stivali falco;Adlerstiefel;ホークブーツ;
Hawkfeet;Garras de halcón;Pieds Faucon;Piedi falco;Adlerfüße;ホークフット;
Gourmew Boots S;Botas Gourmiáu S;Bottes Gourmiaou S;Stivali Gourmiao S;Gourmiau-Stiefel S;グルニャンＳブーツ;
Gourmew Paws S;Patas de Gourmiáu S;Chaussures Gourm S;Piedi Gourmiao S;Gourmiau-Schuhwerk S;グルニャンＳフット;
Scholarly Boots S;Botas de erudito S;Bottes du savoir S;Stivali sapienti S;Gelehrtenstiefel S;サージュＳブーツ;
Scholarly Tights S;Mallas de erudito S;Collant du savoir S;Calzam. sapiente S;GelehrtenstrumpfhoseS;サージュＳタイツ;
Ranger's Espadrilles;Alpargata de soldado;Tabi de ranger;Calzari ranger;Ranger-Tabi;城塞遊撃隊【足袋】;
Archer's Espadrilles;Alpargata de arquero;Tabi d'archer;Calzari arciere;Bogenschützen-Tabi;城塞弓撃隊【足袋】;
Shinobi Heaven Boots;Botas celes. Shinobi;Tabi Shinobi Cieux;Stiv. Shinobi aria;Shinobi-Tabi Himmel;忍の足袋・天;
Shinobi Land Boots;Botas tierra Shinobi;Tabi Shinobi Terre;Stiv. Shinobi terra;Shinobi-Tabi Land;忍の足袋・地;
Shinobi Sky Boots;Botas cielo Shinobi;Tabi Shinobi Vent;Stiv. Shinobi cielo;Shinobi-Tabi Luft;忍の足袋・空;
Shinobi Sea Boots;Botas mar Shinobi;Tabi Shinobi Eau;Stiv. Shinobi mare;Shinobi-Tabi Meer;忍の足袋・海;
Ancient Boots;Botas antiguas;Bottes antiques;Stivali antichi;Uralte Stiefel;龍歴士ブーツ;
Ancient Feet;Pezuñas antiguas;Chaussures antiques;Piedi antichi;Uralte Füße;龍歴士フット;
Master's Greaves;Grebas de maestro;Grèves de maître;Schinieri del maestro;Meisterarmschienen;マスターグリーヴ;
Master's Leggings;Calzas de maestro;Cuissard de maître;Gambali del maestro;Meistergamaschen;マスターレギンス;
Black Feet S;Pezuñas negras S;Pieds noirs S;Piedi neri S;Schwarze Füße S;ブラックＳフット;
Black Legs S;Patas negras S;Jambes noires S;Gambe nere S;Schwarze Beine S;ブラックＳレグス;
Toka Gusoku;Toka Gusoku;Gusoku Toka;Gusoku Toka;Toka-Gusoku;桐花【具足】;
Mitsuaoi Gusoku;Mitsuaoi Gusoku;Gusoku Mitsuaoi;Gusoku Mitsuaoi;Mitsuaoi-Gusoku;三葵【具足】;
EX Rathian Greaves S;Grebas Rathian EX S;Grèves Rath EX S;Schin. Rathian EX S;RathianBeinschien EX S;EXレイアＳグリーヴ;
EX Rathian Leggings S;Calzas Rathian EX S;Cuissard Rathi EX S;Gambali Rathian EX S;RathianGamaschenEX S;EXレイアＳレギンス;
EX Rathalos Greaves S;Grebas Rathalos EX S;Grèves Ratha EX S;Schin. Rathalos EX S;RathalosBeinschin EX S;EXレウスＳグリーヴ;
EX Rathalos Leggings S;Calzas Rathalos EX S;Cuissard Ratha EX S;Gambali Rathalos EX S;RathalosGamaschnEX S;EXレウスＳレギンス;
EX Tigrex Greaves S;Grebas Tigrex EX S;Grèves Tigrex EX S;Schin. Tigrex EX S;TigrexBeinschien EX S;EXレックスＳグリーヴ;
EX Tigrex Leggings S;Calzas Tigrex EX S;Cuissard Tigr EX S;Gambali Tigrex EX S;Tigrex-Gamaschen EX S;EXレックスＳレギンス;
Arc Greaves S;Grebas de arco S;Grèves Archange S;Schin. dell'arco S;Erz-Beinschienen S;アークＳグリーヴ;
Arc Leggings S;Calzas de arco S;Cuissard Archange S;Gambali dell'arco S;Erz-Gamaschen S;アークＳレギンス;
Storge Greaves S;Grebas amor filial S;Grèves Philia S;Schinieri storge S;PhiliaBeinschienen S;フィリアＳグリーヴ;
Storge Leggings S;Calzas amor filial S;Cuissard Philia S;Gambali storge S;Philia-Gamaschen S;フィリアＳレギンス;
EX Arc Greaves;Grebas de arco EX;Grèves Archange EX;Schin. dell'arco EX;Erz-Beinschienen EX;EXアークグリーヴ;
EX Arc Leggings;Calzas de arco EX;Cuissard Archan EX;Gambali dell'arco EX;Erz-Gamaschen EX;EXアークレギンス;
EX Storge Greaves;Grebas amor filial EX;Grèves Philia EX;Schin. storge EX;PhiliaBeinschienen EX;EXフィリアグリーヴ;
EX Storge Leggings;Calzas amor filial EX;Cuissard Philia EX;Gambali storge EX;Philia-Gamaschen EX;EXフィリアレギンス;
Arc Greaves R;Grebas de arco R;Grèves Archange R;Schin. dell'arco R;Erz-Beinschienen R;アークＲグリーヴ;
Arc Leggings R;Calzas de arco R;Cuissard Archan R;Gambali dell'arco R;Erz-Gamaschen R;アークＲレギンス;
Storge Greaves R;Grebas amor filial R;Grèves Philia R;Schinieri storge R;Philia-Beinschienen R;フィリアＲグリーヴ;
Storge Leggings R;Calzas amor filial R;Cuissard Philia R;Gambali storge R;Philia-Gamaschen R;フィリアＲレギンス;
Kushala Crus S;Tibia Kushala S;Mollet Kushala S;Tibia Kushala S;Kushala-Crus S;クシャナＳペイル;
Kushala Shank S;Anca Kushala S;Jarret Kushala S;Stinco Kushala S;KushalaUnterschenklS;クシャナＳハディ;
EX Kushala Crus;Tibia de Kushala EX;Mollet Kushala EX;Tibia Kushala EX;Kushala-Crus EX;EXクシャナペイル;
EX Kushala Shank;Anca de Kushala EX;Jarret Kushala EX;Stinco Kushala EX;KushalaUntrschenklEX;EXクシャナハディ;
Kushala Crus R;Tibia Kushala R;Mollet Kushala R;Tibia Kushala R;Kushala-Crus R;クシャナＲペイル;
Kushala Shank R;Anca Kushala R;Jarret Kushala R;Stinco Kushala R;KushalaUnterschenkelR;クシャナＲハディ;
Mizuha Gaiters S;Perneras Mizuha S;Gusoku Mizuha H;Gambali Mizuha S;Mizuha-Gusoku S;ミヅハ覇【具足】;
Cham Trousers S;Pantal. extravag. S;Gusoku fantasque H;Pant. stravaganti S;Fantasie-Gusoku S;トヨタマ覇【具足】;
EX Mizuha Gaiters;Perneras Mizuha EX;Gusoku Mizuha EX;Gambali Mizuha EX;Mizuha-Gusoku EX;EXミヅハ【具足】;
EX Cham Trousers;Pantal. extravag. EX;Gusoku fantasque EX;Pant. stravaganti EX;Fantasie-Gusoku EX;EXトヨタマ【具足】;
Kaiser Greaves S;Grebas de Káiser S;Grèves Kaiser S;Schinieri Kaiser S;Kaiser-BeinschienenS;カイザーＳグリーヴ;
Kaiser Leggings S;Calzas de Káiser S;Cuissard Kaiser S;Gambali Kaiser S;Kaiser-Gamaschen S;カイザーＳレギンス;
EX Kaiser Greaves;Grebas de Káiser EX;Grèves Kaiser EX;Schinieri Kaiser EX;KaiserBeinschinen EX;EXカイザーグリーヴ;
EX Kaiser Leggings;Calzas de Káiser EX;Cuissard Kaiser EX;Gambali Kaiser EX;Kaiser-Gamaschen EX;EXカイザーレギンス;
Silver Solgreaves;Grebas sol de plata;Grèves Solargent;Schin. sole argent.;SilbernSonnenbeinsch;シルバーソルグリーヴ;
Silver Solleggings;Calzas sol de plata;Cuissard Solargent;Gambali sole argent.;SilbernSonnengamasch;シルバーソルレギンス;
EX Silver Solgreaves;Grebas sol de plata EX;Grèves Solarg EX;Schin. sole arg. EX;SilbernSonnenbeinschEX;EXＳ・ソルグリーヴ;
EX Silver Solleggings;Calzas sol de plata EX;Cuissard Solarg EX;Gambali sole arg. EX;SilbernSonnengamaschEX;EXＳ・ソルレギンス;
Silver Solgreaves R;Grebas sol de plata R;Grèves Solargent R;Schin. sole arg. R;SilbernSonnenbeinschR;Ｓ・ソルＲグリーヴ;
Silver Solleggings R;Calzas sol de plata R;Cuissard Solarg R;Gambali sole arg. R;SilbernSonnengamaschR;Ｓ・ソルＲレギンス;
Golden Lunegreaves;Grebas luna dorada;Grèves Lunedor;Schin. luna dorata;GoldMondbeinschienen;ゴールドルナグリーヴ;
Golden Luneleggings;Calzas luna dorada;Cuissard Lunedor;Gambali luna dorata;GoldeneMondgamaschen;ゴールドルナレギンス;
EX Golden Lunegreaves;Grebas luna dorada EX;Grèves Lunedor EX;Schin. luna dorata EX;GoldenMondbeinschienEX;EXＧ・ルナグリーヴ;
EX Golden Luneleggings;Calzas luna dorada EX;Cuissard Lune EX;Gambali luna dor. EX;GoldenMondgamaschenEX;EXＧ・ルナレギンス;
Divine Ire Hakama;Hakama de ira divina;Hakama Ire divine;Hakama ira divina;Gotteszorn-Hakama;怒天ノ袴;
Mind Crusher Tabi;Tabi rompementes;Tabi Brise-esprit;Tabi psichici;Geistmalmer-Tabi;心滅ノ足袋;
Esurient Greaves;Grebas voraces;Grèves Voracité;Schinieri voraci;Gier-Beinschienen;グリードグリーヴ;
Esurient Leggings;Calzas voraces;Cuissard Voracité;Gambali voraci;Gier-Gamaschen;グリードレギンス;
Esurient Greaves R;Grebas voraces R;Grèves Voracité R;Schinieri voraci R;Gier-Beinschienen R;グリードＲグリーヴ;
Esurient Leggings R;Calzas voraces R;Cuissard Voracité R;Gambali voraci R;Gier-Gamaschen R;グリードＲレギンス;
Akantor Hessian;Grebas de Akantor;Jute Akantor;Iuta Akantor;Akantor-Hessian;アカムトケマル;
Akantor Boots;Botas de Akantor;Bottes Akantor;Stivali Akantor;Akantor-Stiefel;アカムトチキル;
Akantor Hessian R;Grebas Akantor R;Jute Akantor R;Iuta Akantor R;Akantor-Hessian R;アカムトＲケマル;
Akantor Boots R;Botas de Akantor R;Bottes Akantor R;Stivali Akantor R;Akantor-Stiefel R;アカムトＲチキル;
Ukanlos Hessian;Grebas de Ukanlos;Jute Ukanlos;Iuta Ukanlos;Ukanlos-Hessian;ウカムルケマル;
Ukanlos Boots;Botas de Ukanlos;Bottes Ukanlos;Stivali Ukanlos;Ukanlos-Stiefel;ウカムルチキル;
Tempest Hakama;Hakama de tempestad;Hakama Tempête;Pantaloni tempesta;Sturm-Hakama;荒天【袴】;
Welkin Hakama;Hakama de firmamento;Hakama céleste;Pantaloni celesti;Firmament-Hakama;蒼天【袴】;
Tempest Hakama R;Hakama tempestad R;Hakama Tempête R;Pantaloni fantemp. R;Sturm-Hakama R;荒天亜流【袴】;
Welkin Hakama R;Hakama firmamento R;Hakama céleste R;Pantaloni alumcel. R;Firmament-Hakama R;蒼天亜流【袴】;
Skeletal Femur R;Fémur óseo R;Fémur squelette R;Femore arcischel. R;Skelett-Femur R;骸装甲・覇【大腿骨】;
Decayed Femur R;Fémur roto R;Fémur ancien R;Femore arcidecomp. R;Modriger Femur R;屍装甲・覇【大腿骨】;
Astral Boots;Botas astrales;Bottes astrales;Stivali astrali;Astral-Stiefel;アスリスタブーツ;
Astral Feet;Pezuñas astrales;Chaussures astra;Piedi astrali;Astral-Füße;アスリスタフット;
Escadora Sheath;Escama Escadora;Gaine Escadora;Schinieri Escadora;Escadora-Schuppe;エスカドラスケル;
Escadora Scala;Coraza Escadora;Écaille Escadora;Gambali Escadora;Escadora-Dunkel;エスカドラスクレ;
Escadora Sheath R;Escama Escadora R;Gaine Escadora R;Schinieri Escadora R;Escadora-Schuppe R;エスカドラＲスケル;
Escadora Scala R;Coraza Escadora R;Écaille Escadora R;Gambali Escadora R;Escadora-Dunkel R;エスカドラＲスクレ;
Strange Greaves;Grebas extrañas;Grèves étranges;Schinieri strani;Seltsame Beinschienen;異形グリーヴ;
Strange Leggings;Calzas extrañas;Cuissard étrange;Gambali strani;Seltsame Gamaschen;異形レギンス;
Redhelm Greaves LV1;Grebas de Ámbar LV1;Grèves Crâne-ardent LV1;Schinieri Sanguis LV1;Rothelm-Beinschienen LV1;LV1 紅兜グリーヴ;
Redhelm Leggings LV1;Calzas de Ámbar LV1;Cuissard Crâne-ardent LV1;Gambali Sanguis LV1;Rothelm-Gamaschen LV1;LV1 紅兜レギンス;
Redhelm Greaves LV6;Grebas de Ámbar LV6;Grèves Crâne-ardent LV6;Schinieri Sanguis LV6;Rothelm-Beinschienen LV6;LV6 紅兜グリーヴ;
Redhelm Leggings LV6;Calzas de Ámbar LV6;Cuissard Crâne-ardent LV6;Gambali Sanguis LV6;Rothelm-Gamaschen LV6;LV6 紅兜レギンス;
Snowbaron Greaves LV1;Grebas de Alud LV1;Grèves Maître-neige LV1;Schinieri Nix LV1;SchneesturmBeinschiene LV1;LV1 大雪主グリーヴ;
Snowbaron Leggings LV1;Calzas de Alud LV1;Cuissard Maître-neige LV1;Gambali Nix LV1;Schneesturm-Gamaschen LV1;LV1 大雪主レギンス;
Snowbaron Greaves LV6;Grebas de Alud LV6;Grèves Maître-neige LV6;Schinieri Nix LV6;SchneesturmBeinschiene LV6;LV6 大雪主グリーヴ;
Snowbaron Leggings LV6;Calzas de Alud LV6;Cuissard Maître-neige LV6;Gambali Nix LV6;Schneesturm-Gamaschen LV6;LV6 大雪主レギンス;
Stonefist Greaves LV1;Grebas de Pétreo LV1;Grèves Poing-fer LV1;Schinieri Marmor LV1;Steinfaust-Beinschien LV1;LV1 矛砕グリーヴ;
Stonefist Leggings LV1;Calzas de Pétreo LV1;Cuissard Poing-fer LV1;Gambali Marmor LV1;Steinfaust-Gamaschen LV1;LV1 矛砕レギンス;
Stonefist Greaves LV6;Grebas de Pétreo LV6;Grèves Poing-fer LV6;Schinieri Marmor LV6;Steinfaust-Beinschien LV6;LV6 矛砕グリーヴ;
Stonefist Leggings LV6;Calzas de Pétreo LV6;Cuissard Poing-fer LV6;Gambali Marmor LV6;Steinfaust-Gamaschen LV6;LV6 矛砕レギンス;
Dreadqueen Greaves LV1;Grebas de Maldita LV1;Grèves Reine-poison LV1;Schinieri Imperatrix LV1;GiftstachelBeinschienen LV1;LV1 紫毒姫グリーヴ;
Dreadqueen Leggings LV1;Calzas de Maldita LV1;Cuissard Reine-poison LV1;Gambali Imperatrix LV1;Giftstachel-Gamaschen LV1;LV1 紫毒姫レギンス;
Dreadqueen Greaves LV6;Grebas de Maldita LV6;Grèves Reine-poison LV6;Schinieri Imperatrix LV6;GiftstachelBeinschienen LV6;LV6 紫毒姫グリーヴ;
Dreadqueen Leggings LV6;Calzas de Maldita LV6;Cuissard Reine-poison LV6;Gambali Imperatrix LV6;Giftstachel-Gamaschen LV6;LV6 紫毒姫レギンス;
Drilltusk Greaves LV1;Grebas de Toro LV1;Grèves Brise-roc LV1;Schinieri Vis LV1;Bohrhauer-Beinschienen LV1;LV1 岩穿グリーヴ;
Drilltusk Leggings LV1;Calzas de Toro LV1;Cuissard Brise-roc LV1;Gambali Vis LV1;Bohrhauer-Gamaschen LV1;LV1 岩穿レギンス;
Drilltusk Greaves LV6;Grebas de Toro LV6;Grèves Brise-roc LV6;Schinieri Vis LV6;Bohrhauer-Beinschienen LV6;LV6 岩穿グリーヴ;
Drilltusk Leggings LV6;Calzas de Toro LV6;Cuissard Brise-roc LV6;Gambali Vis LV6;Bohrhauer-Gamaschen LV6;LV6 岩穿レギンス;
Silverwind Greaves LV1;Grebas de Argénteo LV1;Grèves Vent-acier LV1;Schinieri Ventus LV1;SilberwindBeinschirnen LV1;LV1 白疾風グリーヴ;
Silverwind Leggings LV1;Calzas de Argénteo LV1;Cuissard Vent-acier LV1;Gambali Ventus LV1;Silberwind-Gamaschen LV1;LV1 白疾風レギンス;
Silverwind Greaves LV6;Grebas de Argénteo LV6;Grèves Vent-acier LV6;Schinieri Ventus LV6;SilberwindBeinschirnen LV6;LV6 白疾風グリーヴ;
Silverwind Leggings LV6;Calzas de Argénteo LV6;Cuissard Vent-acier LV6;Gambali Ventus LV6;Silberwind-Gamaschen LV6;LV6 白疾風レギンス;
Crystalbeard Greaves LV1;Grebas de Vítreo LV1;Grèves Roi-cristal LV1;Schinieri Adamas LV1;KristallbartBeinschin LV1;LV1 宝纏グリーヴ;
Crystalbeard Leggings LV1;Calzas de Vítreo LV1;Cuissard Roi-cristal LV1;Gambali Adamas LV1;Kristallbart-Gamaschen LV1;LV1 宝纏レギンス;
Crystalbeard Greaves LV6;Grebas de Vítreo LV6;Grèves Roi-cristal LV6;Schinieri Adamas LV6;KristallbartBeinschin LV6;LV6 宝纏グリーヴ;
Crystalbeard Leggings LV6;Calzas de Vítreo LV6;Cuissard Roi-cristal LV6;Gambali Adamas LV6;Kristallbart-Gamaschen LV6;LV6 宝纏レギンス;
Deadeye Greaves LV1;Grebas de Cíclope LV1;Grèves Œil-mort LV1;Schinieri Caecus LV1;NarbYiGrgBeinschienen LV1;LV1 隻眼グリーヴ;
Deadeye Leggings LV1;Calzas de Cíclope LV1;Cuissard Œil-mort LV1;Gambali Caecus LV1;NarbYiGarugaGamaschen LV1;LV1 隻眼レギンス;
Deadeye Greaves LV6;Grebas de Cíclope LV6;Grèves Œil-mort LV6;Schinieri Caecus LV6;NarbYiGrgBeinschienen LV6;LV6 隻眼グリーヴ;
Deadeye Leggings LV6;Calzas de Cíclope LV6;Cuissard Œil-mort LV6;Gambali Caecus LV6;NarbYiGarugaGamaschen LV6;LV6 隻眼レギンス;
Dreadking Greaves LV1;Grebas de Maldito LV1;Grèves Roi-enfer LV1;Schinieri Rex LV1;DunkelfeuerBeinschien LV1;LV1 黒炎王グリーヴ;
Dreadking Leggings LV1;Calzas de Maldito LV1;Cuissard Roi-enfer LV1;Gambali Rex LV1;Dunkelfeuer-Gamaschen LV1;LV1 黒炎王レギンス;
Dreadking Greaves LV6;Grebas de Maldito LV6;Grèves Roi-enfer LV6;Schinieri Rex LV6;DunkelfeuerBeinschien LV6;LV6 黒炎王グリーヴ;
Dreadking Leggings LV6;Calzas de Maldito LV6;Cuissard Roi-enfer LV6;Gambali Rex LV6;Dunkelfeuer-Gamaschen LV6;LV6 黒炎王レギンス;
Thunderlord Greaves LV1;Grebas de Tormenta LV1;Grèves Feu-du-ciel LV1;Schinieri Fulgur LV1;DonnerschlagBeinschien LV1;LV1 金雷公グリーヴ;
Thunderlord Leggings LV1;Calzas de Tormenta LV1;Cuissard Feu-du-ciel LV1;Gambali Fulgur LV1;DonnerschlagGamaschen LV1;LV1 金雷公レギンス;
Thunderlord Greaves LV6;Grebas de Tormenta LV6;Grèves Feu-du-ciel LV6;Schinieri Fulgur LV6;DonnerschlagBeinschien LV6;LV6 金雷公グリーヴ;
Thunderlord Leggings LV6;Calzas de Tormenta LV6;Cuissard Feu-du-ciel LV6;Gambali Fulgur LV6;DonnerschlagGamaschen LV6;LV6 金雷公レギンス;
Grimclaw Greaves LV1;Grebas de Guadaña LV1;Grèves Griffe-sombre LV1;Schinieri Furor LV1;DüsterklauenBeinschin LV1;LV1 荒鉤爪グリーヴ;
Grimclaw Leggings LV1;Calzas Tigrex Guadaña LV1;Cuissard Griffe-sombre LV1;Gambali Furor LV1;DüsterklauenGamaschen LV1;LV1 荒鉤爪レギンス;
Grimclaw Greaves LV6;Grebas de Guadaña LV6;Grèves Griffe-sombre LV6;Schinieri Furor LV6;DüsterklauenBeinschin LV6;LV6 荒鉤爪グリーヴ;
Grimclaw Leggings LV6;Calzas Tigrex Guadaña LV6;Cuissard Griffe-sombre LV6;Gambali Furor LV6;DüsterklauenGamaschen LV6;LV6 荒鉤爪レギンス;
Hellblade Greaves LV1;Grebas de Inferno LV1;Grèves Lame-chaos LV1;Schinieri Ignis LV1;ZornklingenBeinschin LV1;LV1 燼滅刃グリーヴ;
Hellblade Leggings LV1;Calzas de Inferno LV1;Cuissard Lame-chaos LV1;Gambali Ignis LV1;Zornklingen-Gamaschen LV1;LV1 燼滅刃レギンス;
Hellblade Greaves LV6;Grebas de Inferno LV6;Grèves Lame-chaos LV6;Schinieri Ignis LV6;ZornklingenBeinschin LV6;LV6 燼滅刃グリーヴ;
Hellblade Leggings LV6;Calzas de Inferno LV6;Cuissard Lame-chaos LV6;Gambali Ignis LV6;Zornklingen-Gamaschen LV6;LV6 燼滅刃レギンス;
Gudetama Leg Tights;Malla Piernas Gudetama;Grèves Gudegude;Gudetama Leg Tights;Gudetama Beine;ニセたま脚タイツ;
